# ReportingCommunications: 13 tables, 5 > 1k (5.9s)
# ReportingBrokers: 21 tables, 5 > 1k (7.0s)
# ReportingLoanbook: 43 tables, 18 > 1k (9.4s)
# ReportingLookup: 4 tables, 3 > 1k (4.0s)
# ReportingPayments: 17 tables, 5 > 1k (5.0s)
# ReportingTracking: 4 tables, 1 > 1k (4.0s)
# BackingTables: 152 tables, 113 > 1k (19.6s)
# ReportingApplications: 44 tables, 19 > 1k (38.3s)
# ReportingCentralCrm: 25 tables, 8 > 1k (61.6s)
# ReportingCreditbuilder: query failed (OperationalError: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Query timeout expired (0) (SQLExecDirectW)'))
# Whitebox: query failed (OperationalError: ('HYT00', '[HYT00] [Microsoft][ODBC Driver 18 for SQL Server]Query timeout expired (0) (SQLExecDirectW)'))

# Total 177 tables with > 1,000 rows (94.7s elapsed)

database                 schema         table                                                      rows
BackingTables            reporting      areffirstpaidout                                         77,977
ReportingLoanbook        dbo            PaymentScheduleChanges                                   73,377
BackingTables            reporting      addresshistory                                           69,641
ReportingLoanbook        reporting      oldbookmatch                                             66,226
BackingTables            reporting      oldbookmatch                                             66,226
ReportingApplications    dbo            SourceReference2Stats                                    62,066
BackingTables            ctl            proc_runtime_history                                     59,792
BackingTables            reporting      payoutsbysubsource                                       52,402
ReportingLoanbook        dbo            DefaultHistory                                           50,827
BackingTables            reporting      manualvcrcancellations                                   50,630
BackingTables            reporting      affiliatereportsummary                                   48,276
BackingTables            reporting      PpcSpend                                                 47,137
ReportingLoanbook        dbo            Audit                                                    38,498
ReportingPayments        dbo            PaymentPermissions                                       37,332
BackingTables            reporting      cohortreportdata                                         32,250
BackingTables            reporting      ifrsinterestrates                                        32,053
BackingTables            reporting      IFRS_Agreement_Detail                                    32,053
BackingTables            reporting      cashcollected                                            31,580
BackingTables            reporting      LoanTransferred                                          30,292
BackingTables            reporting      interestcollectedforecast                                29,525
BackingTables            reporting      collectionsactionclient_summary                          29,369
BackingTables            fincen         geographymatches_raw                                     27,850
BackingTables            reporting      transactionslast3days                                    27,535
BackingTables            reporting      payoutallocationbreakdown                                27,061
BackingTables            mqf            customerlist_esignatures_raw                             26,190
BackingTables            reporting      robotmessagebreakdown                                    22,590
BackingTables            reporting      ifrssettled                                              20,326
BackingTables            mqf            aprlist                                                  20,037
BackingTables            fincen         namematches_raw                                          18,796
BackingTables            fincen         emailmatches_raw                                         18,412
BackingTables            reporting      loanchargeoffs                                           17,182
BackingTables            mqf            customerlist                                             16,856
BackingTables            mqf            customerlist_addresses                                   16,856
BackingTables            mqf            customerlist_ssns                                        16,856
BackingTables            mqf            customerlist_phones                                      16,837
BackingTables            mqf            applicationdatelist                                      16,443
BackingTables            mqf            customerlist_esignatures                                 15,793
BackingTables            fincen         ssnmatches_raw                                           14,545
BackingTables            reporting      payoutallocationbreakdown_v3                             14,510
BackingTables            reporting      loanchargeoffs_ifrs                                      12,074
BackingTables            mqf            phoneemailchecktasks                                     11,360
BackingTables            reporting      ifrsmanualadjustments                                    10,292
BackingTables            mqf            activeeventlist                                          10,052
BackingTables            mqf            activegt                                                 10,034
BackingTables            mqf            brwstate                                                 10,034
BackingTables            mqf            creditchecks                                              9,749
BackingTables            reporting      acceptsperday_breakdown                                   9,575
BackingTables            reporting      casescleared                                              9,553
BackingTables            mqf            event27list                                               8,198
BackingTables            mqf            mqf                                                       8,083
ReportingCentralCrm      dbo            RobotResponderAudits                                      7,482
BackingTables            reporting      stppreportdata                                            7,450
BackingTables            reporting      accountslast3days                                         6,782
ReportingLoanbook        dbo            Flags                                                     6,140
ReportingCentralCrm      dbo            Campaigns                                                 6,072
BackingTables            reporting      activeloansperweek                                        5,731
BackingTables            fincen         dataformat                                                4,851
BackingTables            reporting      cohortreportdata_v2                                       4,478
BackingTables            reporting      financialfiguresbreakdown_rgdc                            4,007
ReportingBrokers         dbo            SourceRefs                                                3,823
ReportingBrokers         dbo            ExcludedRefs                                              3,708
BackingTables            reporting      payoutsafterblock                                         3,704
BackingTables            reporting      dia90_clear_breakdown                                     3,615
BackingTables            moneymas       agencyfile                                                3,132
BackingTables            mqf            prioreventlist                                            3,059
ReportingLookup          dbo            Carriers                                                  2,635
BackingTables            reporting      tueflagreport_turkeyreceivers                             1,612
BackingTables            reporting      gtdeclinereasons                                          1,576
ReportingCentralCrm      dbo            CannedMessages                                            1,396
BackingTables            reporting      activeloanspermonth                                       1,339
BackingTables            mqf            autopaylist                                               1,267
BackingTables            fincen         geographymatch                                            1,231
ReportingApplications    dbo            PayoutAllocationHistories                                 1,137
BackingTables            reporting      ddeventsreversed_last3days                                1,120
BackingTables            reporting      collectionsactionclients_last3days                        1,118
BackingTables            reporting      uszipcodes                                                1,101
BackingTables            reporting      baddebtbreakdown                                          1,059
